ID;COUNTRY;STATE;LAT;LONG;DAY;MONTH;YEAR
101;CO;Santander;7.0872;-73.67055;28;1;2023
102;CO;Santander;7.0872;-73.67055;12;2;2023
103;CO;Santander;7.0872;-73.67055;24;1;2023
104;CO;Santander;7.08775;-73.670233;28;1;2023
105;CO;Santander;7.08775;-73.670233;29;1;2023
106;CO;Santander;7.0908;-73.6695;3;1;2023
107;CO;Santander;7.0908;-73.6695;12;1;2023
108;CO;Santander;7.0872;-73.67055;4;6;2022
109;CO;Santander;7.0871;-73.671317;11;5;2022
110;CO;Santander;7.0871;-73.671317;12;5;2022
111;MX;Campeche;17.891654;-89.548375;3;5;2024
112;MX;Campeche;17.992404;-89.433595;2;5;2024
113;GT;Peten;17.457022;-89.392291;30;4;2024
114;CO;Meta;3.529729;-73.41805;24;11;2022
115;MX;Quintana Roo;18.535145;-89.02719;3;4;2024
116;GT;Peten;17.236288;-89.521629;19;3;2024
117;GT;Peten;17.483313;-89.130816;25;10;2023
118;GF;;4.46131;-52.51543;7;3;2021
119;BR;Mato Grosso do Sul;-17.636722;-55.839454;2;7;2023
120;BR;Mato Grosso do Sul;-17.623381;-55.938015;2;7;2023
121;EC;;-0.8358;-75.9203;16;8;2022
122;EC;;-0.7348;-75.9193;14;1;2023
123;EC;;-0.7388;-75.9217;1;2;2023
124;EC;;-0.6814;-76.4023;8;4;2020
125;EC;;-0.6821;-75.9463;20;2;2023
126;EC;;-0.6672;-75.911;21;2;2023
127;EC;;-0.6672;-75.9508;6;2;2023
128;EC;;-0.7837;-75.9054;16;12;2021
129;EC;;-0.8154;-75.908;15;2;2022
130;EC;;-0.795;-75.9024;14;6;2022
131;EC;;-1.0358;-75.43;26;9;2020
132;EC;;-0.8182;-75.6112;2;2;2023
133;EC;;-0.8432;-75.9233;29;12;2021
134;EC;;-0.8323;-75.9181;29;1;2021
135;EC;;-0.7835;-75.9059;14;6;2023
136;EC;;-1.1687;-76.5428;29;8;2021
137;EC;;-0.9748;-75.4449;28;8;2020
138;EC;;-1.5811;-75.686;24;2;2023
139;EC;;-0.8367;-75.9202;16;8;2022
140;EC;;-0.8139;-75.9073;9;9;2022
141;EC;;-0.9757;-75.4333;1;8;2021
142;EC;;-0.6902;-75.9275;19;11;2022
143;EC;;-0.7618;-75.9063;13;8;2023
144;EC;;-0.5258;-76.3856;6;1;2020
145;EC;;-1.1048;-75.4918;5;7;2023
146;EC;;-0.5323;-76.377;17;5;2022
147;EC;;-0.9859;-75.4524;13;11;2022
148;EC;;-0.5266;-76.3862;9;8;2022
149;EC;;-0.9789;-76.8712;6;6;2022
150;EC;;-0.5272;-76.3873;6;6;2021
151;EC;;-0.6428;-75.9214;4;8;2022
152;EC;;-0.6717;-75.9049;2;9;2022
153;EC;;-0.6877;-75.9378;18;10;2022
154;EC;;-0.7705;-75.9059;11;11;2021
155;EC;;-0.7631;-75.9059;24;3;2023
156;EC;;-0.9756;-75.4338;8;6;2023
157;EC;;-0.7587;-75.9078;19;3;2023
158;EC;;-0.6639;-75.9165;2;8;2022
159;EC;;-0.8152;-75.9079;29;11;2022
160;EC;;-0.5284;-76.3883;3;9;2023
161;EC;;-0.6674;-75.9275;19;5;2022
162;EC;;-0.6809;-76.4033;13;11;2020
163;EC;;-0.6607;-75.9749;11;3;2021
164;EC;;-0.7507;-75.9162;3;7;2023
165;EC;;-0.6863;-75.9245;17;2;2022
166;EC;;-0.9884;-75.4536;27;10;2021
