ID;Country_Code;Province;Latitude;Longitude;Date;Day;Month;Year
30;CO;Santander;7.0872;-73.67055;8/21/2023;21;8;2023
31;CO;Santander;7.0908;-73.6695;9/3/2022;3;9;2022
32;CO;Santander;7.0908;-73.6695;9/23/2022;23;9;2022
33;CO;Santander;7.0908;-73.6695;9/25/2022;25;9;2022
34;CO;Santander;7.08723;-73.67059;4/19/2021;19;4;2021
35;CO;Santander;7.08723;-73.67059;4/20/2021;20;4;2021
36;CO;Santander;7.08723;-73.67059;4/20/2021;20;4;2021
37;CO;Santander;7.08723;-73.67059;5/12/2021;12;5;2021
38;CO;Santander;7.08723;-73.67059;5/18/2021;18;5;2021
39;CO;Santander;7.0872;-73.67055;6/17/2023;17;6;2023
40;CO;Santander;7.0872;-73.67055;7/13/2023;13;7;2023
41;CO;Santander;7.0871;-73.671317;6/17/2023;17;6;2023
42;CO;Santander;7.0871;-73.671317;7/13/2023;13;7;2023
43;CO;Santander;7.08775;-73.670233;6/17/2023;17;6;2023
44;CO;Santander;7.0908;-73.6695;7/20/2022;20;7;2022
45;CO;Santander;7.0908;-73.6695;6/26/2022;26;6;2022
46;CO;Santander;7.0908;-73.6695;6/26/2022;26;6;2022
47;CO;Santander;7.0908;-73.6695;6/17/2023;17;6;2023
48;CO;Santander;7.0908;-73.6695;7/24/2022;24;7;2022
49;CO;Santander;7.0872;-73.67055;8/1/2023;1;8;2023
50;CO;Santander;7.0872;-73.67055;7/30/2023;30;7;2023
51;CO;Santander;7.0872;-73.67055;9/12/2022;12;9;2022
52;CO;Santander;7.0872;-73.67055;9/2/2022;2;9;2022
53;CO;Santander;7.0871;-73.671317;7/30/2023;30;7;2023
54;CO;Santander;7.0871;-73.671317;8/1/2023;1;8;2023
55;CO;Santander;7.0872;-73.67055;8/14/2023;14;8;2023
56;CO;Santander;7.0872;-73.67055;8/15/2023;15;8;2023
57;CO;Santander;7.0908;-73.6695;3/13/2023;13;3;2023
58;CO;Santander;7.0908;-73.6695;3/15/2023;15;3;2023
59;CO;Santander;7.08723;-73.67059;1/1/2021;1;1;2021
60;CO;Santander;7.08723;-73.67059;1/29/2021;29;1;2021
61;CO;Santander;7.08723;-73.67059;1/28/2021;28;1;2021
62;CO;Santander;7.0908;-73.6695;1/20/2023;20;1;2023
63;CO;Santander;7.0872;-73.67055;2/25/2023;25;2;2023
64;CO;Santander;7.0872;-73.67055;3/12/2023;12;3;2023
65;CO;Santander;7.0872;-73.67055;3/14/2023;14;3;2023
66;CO;Santander;7.0871;-73.671317;6/4/2022;4;6;2022
67;CO;Santander;7.0872;-73.67055;4/8/2023;8;4;2023
68;CO;Santander;7.087047;-73.671286;3/7/2023;7;3;2023
69;CO;Santander;7.0872;-73.67055;6/26/2022;26;6;2022
70;CO;Santander;7.087047;-73.671286;2/18/2023;18;2;2023
71;CO;Santander;7.08723;-73.67059;9/4/2021;4;9;2021
72;CO;Santander;7.08723;-73.67059;9/4/2021;4;9;2021
73;CO;Santander;7.0872;-73.67055;7/21/2022;21;7;2022
74;CO;Santander;7.0908;-73.6695;2/26/2023;26;2;2023
75;CO;Santander;7.0908;-73.6695;2/27/2023;27;2;2023
76;CO;Santander;7.0872;-73.67055;7/2/2022;2;7;2022
77;CO;Santander;7.0872;-73.67055;7/31/2022;31;7;2022
78;CO;Santander;7.0872;-73.67055;7/25/2022;25;7;2022
79;CO;Santander;7.0873;-73.67066;4/20/2021;20;4;2021
80;CO;Santander;7.0873;-73.67066;4/20/2021;20;4;2021
81;CO;Santander;7.0873;-73.67066;4/19/2021;19;4;2021
82;CO;Santander;7.0871;-73.671317;6/26/2022;26;6;2022
83;CO;Santander;7.0871;-73.671317;7/2/2022;2;7;2022
84;CO;Santander;7.0871;-73.671317;7/21/2022;21;7;2022
85;CO;Santander;7.08723;-73.67059;12/28/2020;28;12;2020
86;CO;Santander;7.08723;-73.67059;12/13/2020;13;12;2020
